代碼,食物分類大項,食物分類子項,食材名稱,生食/熟食,烹飪方式,保存方式,產地,當季/非當季,農業,加工,包裝,運輸,超市及配送,能源消耗,全部
20001,蔬菜類,葉菜類,綠蘆筍,熟食,煮,,,,1.09,-,0.34,0.46,0.03,0.32,2.25
20279,蔬菜類,葉菜類,綠蘆筍,生食,,,,,0.94,-,-,0.38,0.02,0.21,1.56
20045,蔬菜類,根莖類,白蘿蔔,生食,,,,,0.36,-,-,0.23,0.01,0.01,0.6
20234,蔬菜類,根莖類,白蘿蔔,生食,,冷凍,,,0.07,0.09,0.26,0.21,0.07,0.03,0.73
20033,蔬菜類,根莖類,白蘿蔔,熟食,,,,,0.1,-,0.26,0.3,0.01,0.14,0.8
20272,蔬菜類,葉菜類,沙拉,生食,,,,,0.3,-,-,0.36,0.21,0.23,1.1
30001,蔬菜類,葉菜類,空心菜,生食,,,,,0.12,0.1,0.1,0.23,0.04,0.01,0.6
30002,蔬菜類,葉菜類,地瓜葉,生食,,,,,0.12,0.1,0.1,0.23,0.04,0.01,0.6
30003,蔬菜類,葉菜類,水蓮,生食,,,,,0.12,0.1,0.1,0.23,0.04,0.01,0.6
30004,蔬菜類,葉菜類,青江菜,生食,,,,,0.12,0.1,0.1,0.23,0.04,0.01,0.6
20275,蔬菜類,菌菇類,蘑菇,生食,,,,,0.7,0.05,0.3,0.3,0.02,0.1,1.47
20276,蔬菜類,菌菇類,香菇,生食,,,,,0.7,0.05,0.3,0.3,0.02,0.1,1.47
20277,蔬菜類,菌菇類,金針菇,生食,,,,,0.7,0.05,0.3,0.3,0.02,0.1,1.47
11074,蔬菜類,根莖類,薑,生食,,,,,0.16,-,-,0.28,0.02,-,0.45
11000,蔬菜類,根莖類,大蒜,生食,,,,,0.08,-,-,0.17,0.02,0.08,0.36
28477,豆魚蛋肉類,豬肉類,豬肩肉上半部,生食,,,,,8.5,0.92,0.46,0.21,0.04,0.01,10.14
28472,豆魚蛋肉類,豬肉類,豬肩肉下半部,生食,,,,,8.5,0.92,0.46,0.21,0.04,0.01,10.14
9087,全穀雜糧類,麵食類,烏龍麵,熟食,煮,,,,0.83,0.35,0.19,0.11,0.03,0.01,1.52
20278,蔬菜類,菌菇類,杏包菇,生食,,,,,0.7,0.05,0.3,0.3,0.02,0.1,1.47
20019,蔬菜類,瓜果類,苦瓜,生食,,,,,0.19,-,-,0.24,0.01,0.03,0.47
11015,蔬菜類,葉菜類,黑胡椒,生食,,,,,6.87,0.45,0.48,0.33,0.02,-,8.15
11033,蔬菜類,葉菜類,九層塔,生食,,,,,0.22,-,0.33,0.16,0.02,0.08,0.08
11094,蔬菜類,葉菜類,香菜,生食,,,,,0.39,-,0.3,0.23,0.02,0.03,0.97
20280,蔬菜類,菌菇類,木耳,生食,,,,,0.7,0.05,0.3,0.3,0.02,0.1,1.47
22061,豆魚蛋肉類,鴨鵝類,皮蛋,熟食,,,,,2.79,0.1,0.12,0.17,0.01,0.08,3.27
5214,飲品類,飲品類,紅葡萄酒,熟食,,,,,0.29,0.12,0.56,0.19,0.02,0.01,1.19
20986,蔬菜類,葉菜類,海帶,生食,,,,,4.55,1.49,0.29,0.38,0.02,0.01,6.75
20987,蔬菜類,葉菜類,紫菜,生食,,,,,4.55,1.49,0.29,0.38,0.02,0.01,6.75
20916,豆魚蛋肉類,豆類,味噌,熟食,,,,,0.6,0.15,0.11,0.17,0.02,-,1.05
25088,全穀雜糧類,米飯類,糯米,生食,,,,,1.65,0.27,0.25,0.26,0.04,0.02,2.48
9381,全穀雜糧類,米飯類,薏仁,生食,,,,,0.74,-,0.27,0.13,0.02,-,1.15
30005,蔬菜類,葉菜類,小白菜,生食,,,,,0.12,0.1,0.1,0.23,0.04,0.01,0.6
